Tcrb	2.036239887	11.761279	0.095944101	0.435645	0.578334761	2.008660676	0.07509942	0.124151641
Zap70 	0.849501994	4.7047915	0.058910982	0.436161	0.692075379	2.078726523	0.191284653	0.280812913
Tnfrsf4 	0.03268384	2.857851	0.070281223	0.535293	0.441377862	1.882268225	0.078776098	0.43131022
Cd3d 	1.045710844	4.860938	0.116841791	0.424291	0.528542162	2.615343373	0.047070249	0.103722587
Kcnj13	0.7255839	3.1110294	0.11562237	0.527845	0.175072295	1.477376703	0.092257097	0.514437382
Kcnk6	0.544305508	2.455964	0.093266487	0.632232	0.238533089	1.186704596	0.056855446	0.495877745
Snap25	0.029416337	0.236849691	0.280466487	1.9084516	0.128264632	0.487948214	2.812205911	8.969571781
Gabbr2	0.063603418	0.25374897	0.391283899	1.5847907	0.077671241	0.502191525	0.180752585	6.632648363
Syt9 	0.067378241	0.101156482	1.276246124	2.3925092	0.281812567	0.422247895	9.634350057	16.97969404
Kcnb2	0.060548977	0.14225004	0.908044843	2.065492	0.325849395	0.545211637	7.494785582	11.24172158
Scn9a	0.080196519	0.27643731	0.222288684	1.6743629	0.069463594	0.522269932	0.617311993	5.687028733
Cacna2d3	0.032565641	0.240051659	0.310061543	1.5101813	0.12350469	0.542858621	1.136029043	5.870969545
NMDAR1	0.055655924	0.247227957	0.333768606	1.7778897	0.344933769	0.819500191	0.793937504	5.033737864
